seq	citeUrn	ctsUrn	analysis	surfaceForm
6686	urn:cite:fu:synTok_tlg0085_tlg003_fu.6686	urn:cts:greekLit:tlg0085.tlg003.fu:1028@τ᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6686	τ᾽
6687	urn:cite:fu:synTok_tlg0085_tlg003_fu.6687	urn:cts:greekLit:tlg0085.tlg003.fu:1028@εἰς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6687	εἰς
6688	urn:cite:fu:synTok_tlg0085_tlg003_fu.6688	urn:cts:greekLit:tlg0085.tlg003.fu:1028@ἀναύγητον[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6688	ἀναύγητον
6689	urn:cite:fu:synTok_tlg0085_tlg003_fu.6689	urn:cts:greekLit:tlg0085.tlg003.fu:1028@μολεῖν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6689	μολεῖν
6690	urn:cite:fu:synTok_tlg0085_tlg003_fu.6690	urn:cts:greekLit:tlg0085.tlg003.fu:1029@Ἅιδην[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6690	Ἅιδην
6691	urn:cite:fu:synTok_tlg0085_tlg003_fu.6691	urn:cts:greekLit:tlg0085.tlg003.fu:1029@κνεφαῖά[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6691	κνεφαῖά
6692	urn:cite:fu:synTok_tlg0085_tlg003_fu.6692	urn:cts:greekLit:tlg0085.tlg003.fu:1029@τ᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6692	τ᾽
6693	urn:cite:fu:synTok_tlg0085_tlg003_fu.6693	urn:cts:greekLit:tlg0085.tlg003.fu:1029@ἀμφὶ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6693	ἀμφὶ
6694	urn:cite:fu:synTok_tlg0085_tlg003_fu.6694	urn:cts:greekLit:tlg0085.tlg003.fu:1029@Ταρτάρου[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6694	Ταρτάρου
6695	urn:cite:fu:synTok_tlg0085_tlg003_fu.6695	urn:cts:greekLit:tlg0085.tlg003.fu:1029@βάθη[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6695	βάθη
6696	urn:cite:fu:synTok_tlg0085_tlg003_fu.6696	urn:cts:greekLit:tlg0085.tlg003.fu:1029@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6696	.
6697	urn:cite:fu:synTok_tlg0085_tlg003_fu.6697	urn:cts:greekLit:tlg0085.tlg003.fu:1030@πρὸς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6697	πρὸς
6698	urn:cite:fu:synTok_tlg0085_tlg003_fu.6698	urn:cts:greekLit:tlg0085.tlg003.fu:1030@ταῦτα[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6698	ταῦτα
6699	urn:cite:fu:synTok_tlg0085_tlg003_fu.6699	urn:cts:greekLit:tlg0085.tlg003.fu:1030@βούλευ᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6699	βούλευ᾽
6700	urn:cite:fu:synTok_tlg0085_tlg003_fu.6700	urn:cts:greekLit:tlg0085.tlg003.fu:1030@·[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6700	·
6701	urn:cite:fu:synTok_tlg0085_tlg003_fu.6701	urn:cts:greekLit:tlg0085.tlg003.fu:1030@ὡς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6701	ὡς
6702	urn:cite:fu:synTok_tlg0085_tlg003_fu.6702	urn:cts:greekLit:tlg0085.tlg003.fu:1030@ὅδ᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6702	ὅδ᾽
6703	urn:cite:fu:synTok_tlg0085_tlg003_fu.6703	urn:cts:greekLit:tlg0085.tlg003.fu:1030@οὐ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6703	οὐ
6704	urn:cite:fu:synTok_tlg0085_tlg003_fu.6704	urn:cts:greekLit:tlg0085.tlg003.fu:1030@πεπλασμένος[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6704	πεπλασμένος
6705	urn:cite:fu:synTok_tlg0085_tlg003_fu.6705	urn:cts:greekLit:tlg0085.tlg003.fu:1031@ὁ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6705	ὁ
6706	urn:cite:fu:synTok_tlg0085_tlg003_fu.6706	urn:cts:greekLit:tlg0085.tlg003.fu:1031@κόμπος[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6706	κόμπος
6707	urn:cite:fu:synTok_tlg0085_tlg003_fu.6707	urn:cts:greekLit:tlg0085.tlg003.fu:1031@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6707	,
6708	urn:cite:fu:synTok_tlg0085_tlg003_fu.6708	urn:cts:greekLit:tlg0085.tlg003.fu:1031@ἀλλὰ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6708	ἀλλὰ
6709	urn:cite:fu:synTok_tlg0085_tlg003_fu.6709	urn:cts:greekLit:tlg0085.tlg003.fu:1031@καὶ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6709	καὶ
6710	urn:cite:fu:synTok_tlg0085_tlg003_fu.6710	urn:cts:greekLit:tlg0085.tlg003.fu:1031@λίαν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6710	λίαν
6711	urn:cite:fu:synTok_tlg0085_tlg003_fu.6711	urn:cts:greekLit:tlg0085.tlg003.fu:1031@εἰρημένος[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6711	εἰρημένος
6712	urn:cite:fu:synTok_tlg0085_tlg003_fu.6712	urn:cts:greekLit:tlg0085.tlg003.fu:1031@·[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6712	·
6713	urn:cite:fu:synTok_tlg0085_tlg003_fu.6713	urn:cts:greekLit:tlg0085.tlg003.fu:1032@ψευδηγορεῖν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6713	ψευδηγορεῖν
6714	urn:cite:fu:synTok_tlg0085_tlg003_fu.6714	urn:cts:greekLit:tlg0085.tlg003.fu:1032@γὰρ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6714	γὰρ
6715	urn:cite:fu:synTok_tlg0085_tlg003_fu.6715	urn:cts:greekLit:tlg0085.tlg003.fu:1032@οὐκ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6715	οὐκ
6716	urn:cite:fu:synTok_tlg0085_tlg003_fu.6716	urn:cts:greekLit:tlg0085.tlg003.fu:1032@ἐπίσταται[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6716	ἐπίσταται
6717	urn:cite:fu:synTok_tlg0085_tlg003_fu.6717	urn:cts:greekLit:tlg0085.tlg003.fu:1032@στόμα[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6717	στόμα
6718	urn:cite:fu:synTok_tlg0085_tlg003_fu.6718	urn:cts:greekLit:tlg0085.tlg003.fu:1033@τὸ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6718	τὸ
6719	urn:cite:fu:synTok_tlg0085_tlg003_fu.6719	urn:cts:greekLit:tlg0085.tlg003.fu:1033@Δῖον[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6719	Δῖον
6720	urn:cite:fu:synTok_tlg0085_tlg003_fu.6720	urn:cts:greekLit:tlg0085.tlg003.fu:1033@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6720	,
6721	urn:cite:fu:synTok_tlg0085_tlg003_fu.6721	urn:cts:greekLit:tlg0085.tlg003.fu:1033@ἀλλὰ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6721	ἀλλὰ
